Methods,value,Decision
X_IONRAD,-0.1502706625347248,Accepted
X_IONRAD,-0.1347180999832838,Accepted
X_IONRAD,-0.16855201216314147,Accepted
X_IONRAD,-0.17766128461282224,Accepted
X_IONRAD,-0.12491782115997813,Accepted
X_IONRAD,-0.18485781107327845,Accepted
X_IONRAD,-0.14712120027702147,Accepted
X_IONRAD,-0.14561819918797111,Accepted
X_IONRAD,-0.14113198506510044,Accepted
X_IONRAD,-0.14788716480228103,Accepted
X_IONRAD,-0.13603244763132102,Accepted
X_IONRAD,-0.152770577420976,Accepted
X_IONRAD,-0.1368581965607874,Accepted
X_IONRAD,-0.15950334159444143,Accepted
X_IONRAD,-0.15061444638218854,Accepted
X_IONRAD,-0.0900130184892599,Accepted
X_IONRAD,-0.0754355165192709,Accepted
X_IONRAD,-0.1300198492182903,Accepted
X_IONRAD,-0.14573400953045082,Accepted
X_IONRAD,-0.14441594646268913,Accepted
X_IONRAD,-0.1851755036396401,Accepted
X_IONRAD,-0.15354101768133435,Accepted
X_IONRAD,-0.17908653155548798,Accepted
X_IONRAD,-0.17805096034771506,Accepted
X_IONRAD,-0.15030734052561193,Accepted
X_IONRAD,-0.19916027627922178,Accepted
X_IONRAD,-0.1360732510342963,Accepted
X_IONRAD,-0.1791914913573313,Accepted
X_IONRAD,-0.19287775411185235,Accepted
X_IONRAD,-0.17719576204369397,Accepted
X_IONRAD,-0.1734105702861985,Accepted
X_IONRAD,-0.17208103963091168,Accepted
X_IONRAD,-0.1747447738304481,Accepted
X_IONRAD,-0.1780697489564881,Accepted
X_IONRAD,-0.17459090875812222,Accepted
X_IONRAD,-0.1682151932964262,Accepted
X_IONRAD,-0.1884701779304471,Accepted
X_IONRAD,-0.20017532818374653,Accepted
X_IONRAD,-0.18208122701717466,Accepted
X_IONRAD,-0.18908607572341507,Accepted
X_IONRAD,-0.2152353582638361,Accepted
X_IONRAD,-0.19141036788994872,Accepted
X_IONRAD,-0.1453981814907341,Accepted
X_IONRAD,-0.15843914406900647,Accepted
X_IONRAD,-0.1853698620564297,Accepted
X_IONRAD,-0.1533304855523751,Accepted
X_IONRAD,-0.19178081779229653,Accepted
X_IONRAD,-0.19185250246214633,Accepted
X_IONRAD,-0.20104718163862498,Accepted
X_IONRAD,-0.19277181068963686,Accepted
X_IONRAD,-0.17478445342680846,Accepted
X_IONRAD,-0.16400565587007557,Accepted
X_IONRAD,-0.159616754965925,Accepted
X_IONRAD,-0.1775535696913755,Accepted
X_IONRAD,-0.17748314637669949,Accepted
X_IONRAD,-0.18125997407300745,Accepted
X_IONRAD,-0.19151765124343265,Accepted
X_IONRAD,-0.2058996126034434,Accepted
X_IONRAD,-0.1847348016759063,Accepted
X_IONRAD,-0.1942405026562296,Accepted
X_IONRAD,-0.17766889801199884,Accepted
X_IONRAD,-0.1571977284146466,Accepted
X_IONRAD,-0.1772536147235023,Accepted
X_IONRAD,-0.16974362137810323,Accepted
X_IONRAD,-0.1546022415419927,Accepted
X_IONRAD,-0.19099413673887053,Accepted
X_IONRAD,-0.1685299279018086,Accepted
X_IONRAD,-0.18164619773094984,Accepted
X_IONRAD,-0.17665018561115706,Accepted
X_IONRAD,-0.1725354312045011,Accepted
X_IONRAD,-0.16644408243464323,Accepted
X_IONRAD,-0.18483682543184593,Accepted
X_IONRAD,-0.15898411502733245,Accepted
X_IONRAD,-0.17654830399283825,Accepted
X_IONRAD,-0.19464218605396785,Accepted
X_IONRAD,-0.17094126315654018,Accepted
X_IONRAD,-0.1435214433583258,Accepted
X_IONRAD,-0.17566750259961483,Accepted
X_IONRAD,-0.22395550000041597,Accepted
X_IONRAD,-0.19349434680806488,Accepted
X_IONRAD,-0.1528844379183676,Accepted
X_IONRAD,-0.17786915508870774,Accepted
X_IONRAD,-0.1322101965149608,Accepted
X_IONRAD,-0.19291686687707088,Accepted
X_IONRAD,-0.16656591516823094,Accepted
X_IONRAD,-0.1932241789432157,Accepted
X_IONRAD,-0.18576030200993024,Accepted
X_IONRAD,-0.15481025642117605,Accepted
